provincia;Departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;TRES DE FEBRERO;Privado;Urbano;56;0;256;1;127;1;0;0;33;110;0;515;0;36;1;0;0;70;122;0;0;0;209;0;24;25;0;309;0;13;0;0;697;0;84;4537,5;0;314;58;0;18783;21;6;0;229,5;5918;0;0;0;0;0;0;0;0;0;0
Buenos Aires;TRES LOMAS;Estatal;Rural;0;0;1;0;1;0;1;0;0;2;0;4;0;10;0;4;0;0;8;0; ; ;21;0;0; ; ; ; ; ; ; ;18;0;0;72;0;0;0;0;493,5;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;TRES LOMAS;Estatal;Urbano;7;0;27;0;20;0;0;0;0;6;0;31;0;10;0;0;0;0;9;0; ; ;25;0;0;2;0;28;0;2;0;0;29;0;0;231;0;0;0;0;2085;0;0;0;0;139,5;0;0;0;0;0;0;0;32;0;0
Buenos Aires;VICENTE LOPEZ;Estatal;Urbano;63;1;245;0;194;0;0;0;11;68;2;337;6;98;0;0;0;10;88;9;5;0;258;0;36;25;8;175;0;38;9;5;590;0;40;2857,5;0;33;0;0;12115,5;91,5;77,5;4;261;3716;60;0;0;1;0;0;0;0;0;0
Buenos Aires;VICENTE LOPEZ;Privado;Urbano;118;0;345;0;313;1;0;0;29;142;1;553;0;110;0;0;0;52;163;1;5;0;286;2;50;18;0;101;0;7;0;0;937;0;51;9204;0;619;0;0;25051,5;0;0;0;283,5;1439;0;0;0;0;0;0;0;0;0;0
Buenos Aires;VILLA GESELL;Estatal;Urbano;15;0;55;2;35;0; ; ;0;19;1;121;0;21;0;0;0;0;21;0;0;0;65;0;0;7;1;48;0;6;0;1;126;15;0;741;0;0;0;0;3604,5;0;0;0;0;619,5;20;0;0;0;0;0;0;0;0;0
Buenos Aires;VILLA GESELL;Privado;Urbano;3;0;21;0;10;0; ; ;1;15;0;57;0; ; ; ; ;0;14;0; ; ;23;0;2;2;0;20;0;0;0;0;40;0;4;303;0;12;0;0;1581;0;0;0;0;3520;0;0;0;0;0;0;0;0;0;0
Buenos Aires;VILLARINO;Estatal;Rural;2;0;17;1;4;0;1;0;0;6;0;28;0;12;0;16;1;1;9;0;0;0;31;1;0; ; ; ; ; ; ; ;94;2;0;360;64;0;0;0;979,5;10,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;VILLARINO;Estatal;Urbano;13;1;56;0;35;0;1;0;0;26;0;123;1;31;0;1;0;0;31;2;0;0;140;1;0;4;0;19;5;5;0;2;79;6;0;808,5;12;0;18;0;4840,5;30;8;0;0;388;37;0;0;0;0;0;0;0;0;0
Buenos Aires;ZARATE;Estatal;Rural;1;0;5;0;5;0;2;0;0;12;0;52;0;7;0;3;0;0;15;0;5;0;36;0;2; ; ; ; ; ; ; ;22;0;0;448,5;9;0;0;0;1615,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
