provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuitoEstado;InternetTipodeservicioGratuitoOtro;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Corrientes;ITATI;Estatal;Rural;15;15;15; ; ; ; ; ;7;11;6;3;3;3;10;2; ;1;1;9;2;2;4;3;1;2;2;2;1; ; ;10; ; ; ; ;2;8; ;1;7;7;3;4;3; ;7;8;2;2; ; ; ;4;2;11;7; ; ; ; ; 
Corrientes;ITATI;Estatal;Urbano;7;7;7; ; ; ; ; ;5;7;5;4;4;4;6; ; ;1;1;6;2;1;1; ; ; ; ; ; ; ; ;3; ;1; ;1; ;3; ; ;4;2;2; ;1;1;4;2;3;3; ; ; ;2;2;5;3; ; ; ; ; 
Corrientes;ITUZAINGO;Estatal;Rural;35;35;33; ;2; ; ;1;20;19;8;6;6;6;25;9; ;2; ;18;8;3;5; ;1;1;1;3;1; ; ;23;4; ; ; ;10;9;3;8;20;19;8;11;5; ;15;20;17;17; ; ; ;10;4;26;8; ; ; ; ; 
Corrientes;ITUZAINGO;Estatal;Urbano;26;26;26; ; ; ; ; ;13;21;10;7;10;8;23;12; ;4;4;18;8;4;4;1; ;3;2;3;4; ;1;20; ;3;3;3;11;5;6;1;22;17;10;9;10; ;19;7;19;18; ; ;1;10;6;20;11; ; ; ; ; 
Corrientes;LAVALLE;Estatal;Rural;60;60;59; ;1; ; ; ;27;39;18;11;24;15;47;22; ;4;1;32;20;7;10;2;2;10;5;10;10; ;1;16;1;1;2;1;6;5;4;2;17;14;8;7;5;1;28;31;15;15; ; ; ;17;7;38;10; ; ; ; ; 
Corrientes;LAVALLE;Estatal;Urbano;14;14;14; ; ; ; ; ;9;14;9;3;6;4;12;7; ;2;2;10;5;3;4; ; ;4;3;2;2; ; ;13; ;1;1; ;10;4;1; ;14;8;2;5;4;1;13; ;7;7; ; ; ;2;2;10;5; ; ; ; ; 
Corrientes;MBURUCUYA;Estatal;Rural;18;17;17; ; ; ; ; ;4;13;4;3;4;4;12;2; ; ; ;5;3;1;5;1;1;2; ;6;1; ; ;2; ; ; ; ; ;2; ; ;2;1;1;1;1; ;4;14;5;5; ; ; ;2; ;9;2; ; ; ; ; 
Corrientes;MBURUCUYA;Estatal;Urbano;9;9;9; ; ; ; ; ;5;7;6;1;4;6;8;6; ; ;2;6;1;3;1;1; ;2;3;2;3; ; ;5; ; ; ; ;2;3;2; ;5;4;2;2;3; ;6;3;4;4; ; ; ;5;3;7;3; ; ; ; ; 
Corrientes;MERCEDES;Estatal;Rural;28;28;26;1;1; ; ;1;15;24;9;6;12;13;24;9; ;1; ;16;4;3;4; ; ;1;2;3;1; ; ;26; ;1; ;1;4;15;7;1;21;26;10;14;8;1;9;18;16;16; ; ; ;8;5;22;12; ; ; ; ; 
Corrientes;MERCEDES;Estatal;Urbano;35;35;35; ; ; ; ; ;29;33;16;14;16;10;35;18; ;12;5;31;13;13;10;3;2;6;5;11;6; ;4;30; ;2;5;2;19;3;3;8;30;24;12;15;16;4;28;3;25;25; ; ; ;17;15;23;19; ; ; ; ; 
Corrientes;MERCEDES;Privado;Urbano;4;4;4; ; ; ; ; ;3;4;4;2;3;3;4;2; ;1; ;4; ;2;1; ; ;2;2;1;1; ; ; ; ;4;2;1;2;1;1;1;4;4;3;2;2; ;2;2;4;3; ;1; ;3;3;3;2; ;2;2;3; 
Corrientes;MONTE CASEROS;Estatal;Rural;35;35;33; ; ; ; ;2;15;25;14;9;9;11;25;16; ;5;3;24;11;6;7;2;3;2;3;5;4; ; ;32;1;2;2;2;11;12;6;3;15;22;5;13;6;1;29;5;19;19; ; ; ;18;6;26;8; ; ; ; ; 
Corrientes;MONTE CASEROS;Estatal;Urbano;26;26;26;1; ; ; ; ;24;23;16;6;11;13;22;13; ;7;6;23;10;9;4;2;1;7;8;4;3; ;2;19;3;4;1;1;16;5;2;6;24;20;12;13;13;4;21;1;18;18; ; ; ;16;14;25;15; ; ; ; ; 
Corrientes;PASO DE LOS LIBRES;Estatal;Rural;26;26;23;1;3; ; ;1;10;17;10;4;7;3;17;5; ;2; ;13;4;4;5;2;1;2;1;4;1; ;2;22; ; ;1; ;6;13;3;1;13;14;6;8;4; ;11;15;13;10; ; ;3;6;3;20;5; ; ; ; ; 
Corrientes;PASO DE LOS LIBRES;Estatal;Urbano;27;27;27; ; ; ; ; ;15;23;12;7;15;12;25;13; ;4;4;24;9;7;10;3;2;7;6;9;7; ;1;19;2;3;1;6;11;5;4;1;24;12;4;6;7;2;19;6;22;22; ; ; ;10;8;22;17; ; ; ; ; 
Corrientes;PASO DE LOS LIBRES;Privado;Urbano;9;9;9;1; ; ; ; ;8;7;7;5;6;6;9;5; ;4; ;8;1;2;3;3;1;1;2;3;2; ;1; ; ;8;6;2;4; ; ;1;8;4;4;4;4;1;1;7;1; ; ;1; ;5;4;6;3; ;3;3;2; 
Corrientes;SALADAS;Estatal;Rural;39;39;38; ;1; ; ; ;17;23;10;5;13;11;24;24; ;3; ;20;9;3;9;1;2;3;2;5;7; ;1;19;1; ;1;1;5;8;3;6;17;14;6;10;4;1;20;18;16;15; ; ;1;6;1;22;9; ; ; ; ; 
Corrientes;SALADAS;Estatal;Urbano;16;16;16;1; ; ; ; ;11;11;7;5;4;5;12;5; ;1;3;13;7;3;2;1;1;1;2;2;1; ;1;13; ;3;2;3;5;4;2;8;13;11;6;7;6;1;14;1;11;11; ; ; ;14;8;14;8; ; ; ; ; 
Corrientes;SAN COSME;Estatal;Rural;28;28;26; ;1; ; ;1;10;15;5;3;8;7;17;16; ;2; ;14;2;2;4;2;1;4;2;4;6; ; ;22; ; ;3; ;4;16;1;1;17;15;4;6;2;1;17;10;9;9; ; ; ;6;5;22;11; ; ; ; ; 
Corrientes;SAN COSME;Estatal;Urbano;18;18;18; ; ; ; ; ;9;9;7;4;7;7;11;11; ; ; ;12;2;5;2;1;1;2;1;1;3; ; ;12;3;1; ;2;6;5;2;2;12;9;4;2;4; ;12;6;7;6;1; ; ;5;3;14;6; ; ; ; ; 
Corrientes;SAN LUIS DEL PALMAR;Estatal;Rural;47;46;37;1;9; ;1; ;15;27;10;4;8;9;33;13; ;2; ;21;8;2;7;2;1;2;2;7;3; ; ;33; ; ; ;2;6;20;5; ;27;26;8;10;2; ;9;38;17;16; ; ;1;3;1;30;12; ; ; ; ; 
Corrientes;SAN LUIS DEL PALMAR;Estatal;Urbano;10;10;10;1; ; ; ; ;7;10;6;4;3;3;9;5; ;3;2;10;5;3;3;2;2;2;2;2;1; ; ;8;1;1;1; ;4;5;1;2;10;8;5;5;4;1;6;3;5;5; ; ; ;4;4;6;3; ; ; ; ; 
Corrientes;SAN MARTIN;Estatal;Rural;34;33;23;1;9; ; ; ;12;21;6;5;7;6;21;10; ;4;4;11;7;6;6;2;1;3;4;8;4; ;2;17;2; ;3;1;5;7;3;3;16;17;7;11;2; ;10;24;20;18; ;1;1;3;1;24;8; ; ; ; ; 
Corrientes;SAN MARTIN;Estatal;Urbano;9;9;9; ; ; ; ; ;5;8;2;3;3;2;6;4; ;1;1;7;2; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ;4;1;1;2;7;6;3;2;3;1;4;4;7;7; ; ; ;3;2;6;2; ; ; ; ; 
Corrientes;SAN MIGUEL;Estatal;Rural;21;21;21; ; ; ; ; ;10;18;6;5;4;3;16;10; ;2;2;14;8;1;4; ;2;1;2;2;2; ; ;9; ; ;1; ;1;5;3;1;7;5;3;1;3; ;14;7;8;8; ; ; ;5;5;11;7; ; ; ; ; 
Corrientes;SAN MIGUEL;Estatal;Urbano;8;8;8; ; ; ; ; ;4;6;2;3;3;2;7;4; ;2;2;7;2;1;2; ;1; ;1;1;1; ;1;5; ; ; ;1; ;1;2;1;5;4;3;4;2; ;7;1;5;5; ; ; ;2;2;5;2; ; ; ; ; 
Corrientes;SAN ROQUE;Estatal;Rural;31;31;29;1;2; ; ; ;14;23;16;6;9;9;23;10; ;3;2;19;9;5;4;2;2;4;3;5;4; ; ;21; ;3;1;1;1;15;3;3;22;12;7;13;3; ;16;15;18;18; ; ; ;8;4;25;12; ; ; ; ; 
Corrientes;SAN ROQUE;Estatal;Urbano;16;16;16; ; ; ; ; ;11;13;6;6;9;10;14;5; ; ;3;11;5;5;4;3;3;4;5;5;2; ; ;8;1;6; ;3;6;3;2;1;13;9;4;3;5;2;13;1;6;6; ; ; ;4;3;13;6; ; ; ; ; 
Corrientes;SANTO TOME;Estatal;Rural;28;28;28; ;1; ; ; ;15;24;8;10;13;12;22;5; ;3; ;16;6;8;12;3;6;5;6;11;3; ;1;23; ; ;1; ;11;11;2;2;20;14;4;6; ; ;6;22;13;13; ; ; ;13;1;23;7; ; ; ; ; 
Corrientes;SANTO TOME;Estatal;Urbano;44;44;44;1;1; ; ; ;29;36;14;12;17;8;37;20; ;7;5;36;17;13;12; ;1;6;2;3;8; ;4;31;1;3;3;5;20;5;4;4;33;21;16;13;15;5;28;11;28;28; ; ; ;24;16;39;23; ; ; ; ; 
Corrientes;SANTO TOME;Privado;Urbano;14;14;14;2;1; ; ; ;10;12;6;8;7;5;13;4; ;2; ;13; ;2;3; ;3;2;1;5;3; ; ; ; ;13;8;2;3;3; ;6;13;9;6;8;10;2;1;11;10;6;2;2; ;10;8;14;7; ;8;7;6;3
Corrientes;SAUCE;Estatal;Rural;22;22;21; ;1; ; ; ;7;13;8;5;4;3;11;4; ;1; ;18;4; ; ; ; ; ; ; ;1; ; ;19; ; ;1; ; ;12;6;5;9;12;1;8;3; ;12;10;3;2; ; ;1;4;1;10;1; ; ; ; ; 
Corrientes;SAUCE;Estatal;Urbano;10;10;10; ; ; ; ; ;6;10;4;5;4;5;7;3; ;2;1;9;7;3;1; ; ;1;1; ;2; ; ;9; ;1;1; ;1;7;1;1;10;6;3;4;4; ;10; ;2;1; ; ;1;3;2;6;4; ; ; ; ; 
Entre Ríos;COLON;Estatal;Rural;35;35;35; ; ; ; ; ;21;34;18;11;19;11;33;22; ;2;2;27;12;5;8;4;2;5;2;4;7; ; ;10;11;4;2;3;10;9;4; ;23;19;7;5;2;2;30;3;27;25; ; ;2;11; ;23;7; ; ; ; ; 
Entre Ríos;COLON;Estatal;Urbano;41;41;40;1; ; ; ;1;32;38;23;7;29;21;38;23; ;7;4;36;17;11;11;4;2;9;9;9;5; ; ;17;8;14;9;3;21;8;5;3;36;29;20;11;9;8;18;15;36;36; ; ; ;18;7;29;18; ; ; ; ; 
Entre Ríos;COLON;Privado;Urbano;10;10;10; ; ; ; ; ;10;10;9;1;9;8;10;10; ; ; ;9; ;5;2; ; ;3;4;4;3; ; ; ; ;10;4;2;8;1;1;2;10;9;6;5;4;2; ;8;10;8;2; ; ;5;4;6;6;2;6;3;4; 
Entre Ríos;CONCORDIA;Estatal;Rural;41;41;41; ; ; ; ; ;27;31;18;6;23;18;34;26; ;12;2;33;10;9;16;7;3;11;8;11;10; ;5;1;12;17;1;1;9;12;5;2;25;12;11;9;1;3;14;24;26;23;3; ; ;11;2;31;12; ; ; ; ; 
Entre Ríos;CONCORDIA;Estatal;Urbano;98;98;97; ; ; ; ;1;81;82;45;21;50;46;82;51; ;30;4;86;31;46;30;5;5;24;27;17;15; ;11;32;20;37;19;11;48;9;11;9;87;55;52;45;25;22;21;55;77;75;1; ;1;41;25;80;61; ; ; ; ; 
Entre Ríos;CONCORDIA;Privado;Urbano;49;49;49; ; ; ; ; ;42;42;32;22;36;32;46;34; ;7;2;47;5;10;12;4;7;9;12;7;4; ;1; ;2;46;21;11;32;7;3;5;48;39;23;33;18; ; ;49;37;33;2;1;1;19;13;27;19; ;16;20;14;3
Entre Ríos;DIAMANTE;Estatal;Rural;45;45;45; ; ; ; ; ;25;40;17;10;21;20;42;26; ;6;1;30;15;2;3;1; ;2;2;2;1; ; ;4;16;12; ;1;15;13;2;2;21;21;4;7;3;7;19;19;35;35; ; ; ;15;2;24;4; ; ; ; ; 
Entre Ríos;DIAMANTE;Estatal;Urbano;36;36;36; ; ; ; ; ;25;31;20;6;25;16;28;17; ;8;2;29;9;8;8;4; ;3;4;6;3; ;3;7;7;20;9;3;20; ;6;6;34;18;12;6;7;8;11;17;28;26;1;1; ;16;6;25;13; ; ; ; ; 
Entre Ríos;DIAMANTE;Privado;Rural;4;4;4; ; ; ; ; ;4;3;2; ;3;3;4;3; ; ; ;2; ;1;1; ; ; ; ; ;1; ; ; ;1;3; ; ;1;3; ; ;3;2; ; ; ;1; ;3;2;2; ; ; ;1;1;2;2; ;2;3;1; 
Entre Ríos;DIAMANTE;Privado;Urbano;14;14;14;1; ; ; ; ;12;14;13;8;13;13;14;6; ;4;2;13;1;5;5;3;2;6;5;3;2; ;1; ; ;14;5;1;4;3;5; ;14;13;11;13;8; ;2;12;11;6;3;2; ;9;7;14;11; ;4;5;5;2
Entre Ríos;Enmascarado;Estatal;Urbano;6;6;6; ; ; ; ; ;4;5;3;1;3;2;5;5; ; ;2;5; ;2;1; ; ; ;2; ;1; ; ;2;1;2; ; ;5; ; ; ;5; ; ;2; ;1;2;3;5;4; ;1; ;2; ;4;2; ; ; ; ; 
Entre Ríos;Enmascarado;Privado;Rural;8;8;8;1; ; ; ; ;4;4;3;3;3;3;5;3; ; ; ;6; ;2;2;1;2;1;1;2; ; ; ; ;3;4;1;1;1;3;1; ;5;6;2;3;1;1; ;7;5;5; ; ; ;2;1;5;2; ;5;4;2; 
Entre Ríos;Enmascarado;Privado;Urbano;13;13;13; ; ; ; ; ;8;13;11;3;8;6;12;9; ; ; ;12;2;4;3;3;2;2;3;3;2; ; ; ; ;13;2;1;8;1;1;1;13;7;8;7; ;2;1;10;9;9; ; ; ;1; ;12;8;2;8;7;3;1
Entre Ríos;FEDERACION;Estatal;Rural;55;55;53; ; ; ; ;2;38;44;27;10;35;30;49;38; ;6;6;41;11;7;11;6;3;10;11;10;14; ;2;5;17;12;1; ;10;11;10;5;29;26;14;16;8;9;36;10;30;28;1; ;1;16;6;39;20; ; ; ; ; 
Entre Ríos;FEDERACION;Estatal;Urbano;46;46;46; ; ; ; ; ;36;36;24;13;21;18;36;18; ;8;4;34;6;20;10;1;2;7;9;6;6; ;5;9;17;11;4;2;21;4;3;7;34;23;18;14;7;14;15;17;36;35; ; ;1;13;7;32;21; ; ; ; ; 
Entre Ríos;FEDERACION;Privado;Urbano;15;15;15; ; ; ; ; ;15;14;11;7;15;13;15;12; ;6; ;15;2;10;9;3;2;10;9;3;9; ;4;3;3;9;4;1;9;3;2;1;15;9;12;9;6;2;1;12;14;13;1; ; ;7;4;14;11; ;8;8;6;1
Entre Ríos;FEDERAL;Estatal;Rural;47;47;45; ; ; ;1;1;26;38;16;4;11;15;41;17; ;2;1;21;12;5;7;4;1;4;5;6;4; ; ;2;2;5; ; ;1;3;3;2;7;6;4;6; ;2;4;41;24;23;1; ; ;7;1;24;3; ; ; ; ; 
Entre Ríos;FEDERAL;Estatal;Urbano;26;26;25; ; ; ;1; ;21;19;12;4;14;11;19;15; ;3;2;23;9;9;9;3;2;10;7;7;3; ; ; ;2;19;1;1;9;5;3;2;20;7;10;7;7;6;7;13;16;15;1; ; ;14;8;20;14; ; ; ; ; 
Entre Ríos;FELICIANO;Estatal;Rural;25;25;25; ; ; ; ; ;17;21;12;2;11;13;20;12; ; ;1;17;3;5;8;5;1;5;4;4;4; ; ;1;4;5;1; ;3;6;1;1;9;8;2;5; ;1;11;13;11;10;1; ; ;9;1;17;3; ; ; ; ; 
Entre Ríos;FELICIANO;Estatal;Urbano;14;14;14; ; ; ; ; ;12;13;6;1;4;4;14;6; ;4;1;12;5;5;4;1;1; ;2;2;3; ; ; ;1;12;1;1;4;4;4;1;13;7;3;4;2;3;2;9;11;11; ; ; ;3;3;12;6; ; ; ; ; 
Entre Ríos;GUALEGUAY;Estatal;Rural;40;40;39; ;1; ; ; ;18;31;11;4;6;6;35;10; ;3; ;24;8;2;7;4;1;1;3;7;2; ;1;2;9;17; ; ;6;18; ;4;13;24;2;4; ;4;10;26;17;16; ;1; ;6; ;24;6; ; ; ; ; 
Entre Ríos;GUALEGUAY;Estatal;Urbano;38;38;38; ; ; ; ; ;25;31;22;8;18;16;32;15; ;5;3;26;14;15;21;7;1;11;11;11;6; ;2;15;4;15;7;4;16;5;6;4;34;15;15;14;10;6;16;16;27;25;1;1; ;18;12;32;26; ; ; ; ; 
Entre Ríos;GUALEGUAY;Privado;Urbano;9;9;9; ; ; ; ; ;6;7;5;4;5;4;7;5; ; ; ;7;1; ;2;1;2;3;3;1;2; ; ; ; ;9;2;1;7;1; ;2;9;6;4;4;2; ; ;9;8;8; ; ; ;2;2;6;5; ;3;4;3;2
Entre Ríos;GUALEGUAYCHU;Estatal;Rural;75;75;74;1; ; ; ;1;26;65;29;12;20;12;66;32; ;5;1;42;15;3;19;6;2;3;3;16;6; ;1;8;13;20; ;1;16;14;3;7;21;34;6;11;6;9;37;29;41;40; ; ;1;27;4;51;15; ; ; ; ; 
Entre Ríos;GUALEGUAYCHU;Estatal;Urbano;57;56;56; ; ; ; ; ;48;54;30;7;26;30;54;25; ;13;6;52;13;25;17;5;1;10;15;8;5; ;4;21;4;28;8;10;27;7;8;3;52;37;33;21;16;23;22;12;51;51; ; ; ;20;8;46;32; ; ; ; ; 
Entre Ríos;GUALEGUAYCHU;Privado;Urbano;48;48;48; ; ; ; ; ;37;44;29;16;29;22;44;23; ;3; ;46;5;12;16;5;5;9;10;7;7; ;2; ;1;47;13;7;33;5;2;7;48;37;20;26;13;1;1;46;34;32; ;2; ;13;8;30;18;2;18;14;16;5
Entre Ríos;ISLAS DEL IBICUY;Estatal;Rural;31;31;29;1;2; ; ; ;24;26;7;4;20;18;30;11; ;3;1;24;3;10;10;1;1;9;10;6;3; ;2;4;5;6; ;2;4;8;1; ;15;6;3;3;2;3;14;14;18;17; ;1; ;8;2;25;16; ; ; ; ; 
Entre Ríos;LA PAZ;Estatal;Rural;82;82;81;2; ; ; ;1;46;61;30;8;28;32;70;37; ;4;4;48;14;10;11;6;1;6;5;11;6; ;1;6;7;20;1; ;11;15;6;2;27;18;5;10;4;3;24;55;36;34;1;1; ;23;4;50;10; ; ; ; ; 
Entre Ríos;LA PAZ;Estatal;Urbano;41;41;41; ; ; ; ; ;28;33;22;6;20;15;34;17; ;5;2;30;8;14;10;1;1;9;6;4;6; ;3;8;11;15;7;2;22;2;3;1;31;15;12;9;10;5;13;23;26;23;1;1;1;14;7;33;22; ; ; ; ; 
Entre Ríos;LA PAZ;Privado;Urbano;18;18;18; ; ; ; ; ;15;15;12;6;9;7;17;5; ; ;1;16;1;9;3;1;1;4;2;3;1; ; ; ; ;18;9;2;9;1;2;1;18;11;10;10;4;1; ;17;14;10;1;1;2;4;4;13;11; ;7;8;8;2
Entre Ríos;NOGOYA;Estatal;Rural;89;89;87; ; ; ; ;2;41;58;34;9;34;30;84;32; ;4;5;40;21;7;15;4;2;8;5;15;3; ;1;62;5;17;4;3;13;49;16;8;31;75;13;18;5;7;19;63;36;36; ; ; ;32;7;52;10; ; ; ; ; 
Entre Ríos;NOGOYA;Estatal;Urbano;23;23;23; ; ; ; ; ;16;17;10;5;12;9;20;13; ; ;2;18;9;6;5;1;1;4;3;2;2; ; ;14;5;3;6; ;8;3;9;1;19;19;11;8;8;6;6;11;18;18; ; ; ;11;8;20;12; ; ; ; ; 
Entre Ríos;NOGOYA;Privado;Urbano;16;16;16; ; ; ; ; ;13;11;11;10;10;9;15;11; ;2;1;14;1;5; ;3;3;8;5;4;5; ; ; ;1;15;4;2;13; ;1;2;16;6;10;9;8;4; ;12;12;12; ; ; ;8;8;11;11;2;6;4;6;2
Entre Ríos;PARANA;Estatal;Rural;96;96;96; ; ; ; ; ;57;86;44;12;45;41;89;49; ;19;4;60;17;13;30;8;3;10;8;16;10; ;5;30;20;32; ;3;20;41;15;7;61;67;25;35;13;17;43;36;65;64;1; ; ;29;6;71;23; ; ; ; ; 
Entre Ríos;PARANA;Estatal;Urbano;202;201;201; ; ; ; ;1;142;166;93;39;96;93;166;89; ;46;17;150;46;76;59;9;7;45;46;35;33; ;18;99;13;63;35;15;76;42;36;13;156;115;90;71;63;38;64;100;156;146;7;1;2;92;53;165;106; ; ; ; ; 
Entre Ríos;PARANA;Privado;Rural;4;4;4; ; ; ; ; ;2;4;3;1;3;3;4;3; ;2; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1; ;1;2;1; ;4;3;2;2;1; ;1;3;4;3; ;1; ; ; ;3;2; ;3;3;1; 
Entre Ríos;PARANA;Privado;Urbano;139;139;138;2; ; ; ;1;107;131;99;70;84;70;136;71; ;23;9;131;5;43;40;14;16;33;28;32;30; ;10; ;2;136;34;16;92;13;4;21;138;98;86;91;76;3;11;125;110;89;9;8;4;78;66;111;81;5;48;51;41;11
Entre Ríos;SAN SALVADOR;Estatal;Rural;16;16;16; ; ; ; ; ;9;14;10;1;8;9;15;4; ;5;1;10;5;3;5;2; ;3;3;3;1; ;1;1;4;1; ; ;2;2;1;1;4;3;1;1; ;4;5;7;9;9; ; ; ;2; ;12;2; ; ; ; ; 
Entre Ríos;SAN SALVADOR;Estatal;Urbano;14;14;14; ; ; ; ; ;9;12;6;1;3;3;9;8; ;3;2;11;4;3;3;1; ;1;2;3;2; ;1;4;1;7;2; ;4;4;5;2;12;7;6;5;4;3;4;7;10;10; ; ; ;4;3;10;8; ; ; ; ; 
Entre Ríos;TALA;Estatal;Rural;34;34;34; ; ; ; ; ;20;25;11;7;15;13;33;16; ;2;1;21;11;2;5; ;2;5;4;6;4; ; ;1;3;7;2; ;2;3;5;1;10;6;2;2;1;3;8;23;12;12; ; ; ;7; ;20;2; ; ; ; ; 
Entre Ríos;TALA;Estatal;Urbano;28;28;28; ; ; ; ; ;23;25;15;8;17;16;24;18; ;4;3;22;6;9;10;6;4;6;5;6;4; ; ;3;1;18;4;3;9;4;5;1;21;9;12;5;5;7;8;13;16;16; ; ; ;13;6;21;14; ; ; ; ; 
Entre Ríos;TALA;Privado;Urbano;7;7;7; ; ; ; ; ;6;6;3;3;4;3;7;3; ;2; ;6;1;2;1; ; ;1; ;1;1; ; ; ; ;7;2; ;4;1; ;2;7;2;3;4;3; ; ;7;4;4; ; ; ;5;4;5;4; ;3;3;2;1
Entre Ríos;URUGUAY;Estatal;Rural;72;71;71;1; ; ; ; ;34;57;33;11;24;19;64;25; ;4;1;47;14;9;18;6;2;8;6;13;8; ; ;7;23;21;6;5;12;19;9;4;42;35;17;16;8;10;45;17;44;43;1; ; ;15;3;44;21; ; ; ; ; 
Entre Ríos;URUGUAY;Estatal;Urbano;57;57;57; ; ; ; ; ;41;48;33;11;30;27;54;26; ;5;8;51;17;18;20;6;3;9;12;10;8; ;2;28;3;24;16;11;25;8;9;1;54;35;32;26;22;9;32;16;41;38;3; ; ;31;16;49;32; ; ; ; ; 
Entre Ríos;URUGUAY;Privado;Rural;5;5;5; ; ; ; ; ;4;4;4;1;3;2;5;3; ; ; ;4; ; ; ;1;1;2;1;3;2; ; ; ;1;4; ; ;5; ; ; ;5;2;3;2;2; ;1;4;4;3;1; ; ;2;2;5;4; ;2;3;2; 
Entre Ríos;URUGUAY;Privado;Urbano;25;25;25; ; ; ; ; ;22;23;23;14;19;18;25;19; ;3;1;23;1;6;6;2;3;5;6;3;5; ;1; ; ;25;8;7;11;4;2;4;25;19;16;13;13;1; ;24;21;20;1; ; ;15;12;19;14;1;12;10;10;2
Entre Ríos;VICTORIA;Estatal;Rural;51;47;30;7;15; ; ;2;33;35;12;5;20;22;42;25; ;4;4;22;14;3;5;1; ;1;1;3;2; ; ;6;7;9; ;2;10;10;3;2;17;13;3;10;1;1;5;45;27;25; ; ;2;8;1;20;2; ; ; ; ; 
Entre Ríos;VICTORIA;Estatal;Urbano;30;30;30; ; ; ; ; ;21;22;6;6;15;10;19;17; ;2;2;26;10;7;7;1;1;5;4;6;7; ;1;7;1;11;12;6;3;1;5;2;19;8;7;4;3;3;3;24;23;23; ; ; ;7;5;23;16; ; ; ; ; 
Entre Ríos;VICTORIA;Privado;Urbano;8;8;8; ; ; ; ; ;6;7;4;3;6;5;8;5; ;1; ;7;1;2; ;1; ;1;2;4;2; ; ; ; ;8;4;1;3; ;2; ;8;2;4;5;5; ; ;8;6;6; ; ; ;5;4;5;5; ;3;3;3;2
Entre Ríos;VILLAGUAY;Estatal;Rural;91;91;89; ; ; ;1;2;48;61;19;8;33;32;75;34; ;5;3;41;16;11;14;2;1;9;8;15;10; ; ;3;5;25;1; ;16;7;5;5;27;20;6;11;1;13;19;59;33;32;1; ; ;13;2;50;13; ; ; ; ; 
Entre Ríos;VILLAGUAY;Estatal;Urbano;34;34;33; ; ; ; ;1;23;29;17;2;21;11;26;23; ;3;2;28;9;10;10;1; ;7;7;6;6; ;1;7;2;18;9; ;9;6;7;4;26;17;13;8;6;6;13;15;23;23; ; ; ;12;6;23;15; ; ; ; ; 
Entre Ríos;VILLAGUAY;Privado;Urbano;9;9;9; ; ; ; ; ;7;4;5;2;5;5;8;5; ; ;1;8;1;3;2;1;1;2;3;2;1; ; ;1; ;8;3;1;2;1;4;1;9;4;2;2;2; ; ;9;3;3; ; ; ;2;2;4;3; ;3;3;4;1
Formosa;BERMEJO;Estatal;Rural;112;92;83;7;2; ; ; ;18;14;11;6;2;3;28;3; ;4;1;23;8;3;1;1;2; ; ;5; ; ; ;68; ; ;2;1;9;34;21;2;35;55;7;27;3;12;33;67;64;64; ; ; ;9;2;27;8; ; ; ; ; 
