provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Catamarca;TINOGASTA;Estatal;Rural;2;0;50;0;5;0; ; ;0;16;3;168;9;1;0;18;0;1;18;3;93;3;18;5;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1536;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Catamarca;TINOGASTA;Estatal;Urbano;9;0;49;0;19;0; ; ;0;28;2;191;5;12;4; ; ;2;23;12;14;20;27;33;4;8;7;6;0;4;13;2; ; ; ;0;0;0;0;0;5002;303;77;0;2;2254;327;0;0;0;0;0;0;0;0;0
Catamarca;VALLE VIEJO;Estatal;Rural;2;0;12;0;1;0; ; ;0;4;0;45;1;0;1;4;0;0;2;1;2;0;3;0;0; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;568;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Catamarca;VALLE VIEJO;Estatal;Urbano;14;0;55;1;12;0; ; ;0;39;0;257;2;20;1;0;0;0;36;7;10;0;56;17;0;4;2; ; ;3;5;0;0;0;0;0;0;0;0;0;4183;128;25;0;0;1252;0;0;0;0;0;0;0;45;0;0
Chaco;1§ DE MAYO;Estatal;Rural;3;0;13;0;0;0;1;0;0;3;0;58;1;1;0;5;0;2;8;0; ; ;12;0;0; ; ; ; ; ; ; ;0;0;0;10;0;2;0;0;1064;20;153;15;0;0;0;0;0;0;0;0;0;0;0;0
Chaco;1§ DE MAYO;Estatal;Urbano;1;0;15;0; ; ;2;0;0;3;0;49;0;0;0;1;0;0;8;0; ; ;13;0;0; ; ; ; ; ; ; ;0;0;0;60;0;0;0;0;1440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaco;12 DE OCTUBRE;Estatal;Rural;0;0;27;0;2;0;0;0;0;7;0;71;15;2;0;19;0;12;4;0; ; ;9;0;0; ; ; ; ; ; ; ;0;0;0;53;0;2;28;0;778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaco;12 DE OCTUBRE;Estatal;Urbano;7;0;40;0; ; ;1;0;0;15;0;141;0;1;0;0;0;0;18;0;14;0;44;0;0;5;0; ; ;12;0;0;0;0;0;104;0;0;35;0;3947;90;0;0;0;1423;0;0;0;0;0;0;0;0;0;0
Chaco;2 DE ABRIL;Estatal;Rural;0;0;7;0;0;0;0;0;0;2;0;15;0;0;0;8;1;1;2;0; ; ;2;0;0; ; ; ; ; ; ; ;0;0;0;9;0;0;0;0;245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaco;2 DE ABRIL;Estatal;Urbano;2;0;12;0; ; ;1;0;0;6;0;56;0;0;0;2;0;0;6;0;1;0;12;0;0;3;0; ; ;2;0;1;0;0;0;30;0;0;0;0;969;0;0;0;0;592;0;0;0;0;0;0;0;0;0;0
Chaco;25 DE MAYO;Estatal;Rural;2;0;25;0;2;0;1;0;0;14;0;127;1;6;0;15;0;1;4;0;4;0;6;0;0; ; ; ; ; ; ; ;0;0;0;21;0;0;0;0;825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaco;25 DE MAYO;Estatal;Urbano;7;0;45;0; ; ;1;0;0;18;0;177;1;0;0;0;0;0;21;0;24;0;55;0;0;3;0; ; ;12;0;0;0;0;0;58;0;0;11;0;4413;15;35;0;0;1369;0;0;0;0;0;0;0;0;0;0
Chaco;9 DE JULIO;Estatal;Rural;0;0;18;0;3;0;0;0;0;4;0;79;0;0;0;28;0;13; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;12;0;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0
Chaco;9 DE JULIO;Estatal;Urbano;10;0;52;0;1;0;1;0;0;52;0;187;0;0;0;1;0;2;25;0;19;0;72;0;0;11;0; ; ;16;0;0;0;0;0;32;0;11;61;0;4947;36;0;0;0;1960;0;0;0;0;0;0;0;0;0;0
Chaco;ALMIRANTE BROWN;Estatal;Rural;1;0;24;0;2;0;1;0;0;4;0;47;0;3;0;34;0;1;2;0; ; ;3;0;0; ; ; ; ; ; ; ;0;0;0;119;0;0;0;0;231;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaco;ALMIRANTE BROWN;Estatal;Urbano;13;1;88;0; ; ; ; ;4;32;0;342;0;0;0;1;0;1;25;0;16;0;58;0;5;7;1; ; ;11;0;0;0;0;0;65;0;0;0;0;5882;0;0;0;0;2515;0;12;0;0;0;0;0;0;0;0
Chaco;ALMIRANTE BROWN;Privado;Urbano;2;0;8;0;0;0;0;0;1;3;0;19;0; ; ; ; ;0;8;0;16;0;21;0;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1371;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0
Chaco;BERMEJO;Estatal;Rural;2;0;32;0;3;1;1;0;0;12;0;115;0;10;0;10;0;5;16;0;20;0;23;0;0;1;0; ; ;2;0;0;0;0;0;80;0;0;0;0;1945;0;0;0;0;336;0;0;0;0;0;0;0;0;0;0
Chaco;BERMEJO;Estatal;Urbano;6;0;27;0;2;0;0;0;0;18;0;171;0;2;0;1;0;3;13;2; ; ;43;0;0;7;0;0;0;11;0;0;0;0;0;103;9;0;0;0;3599;0;0;0;0;1595;0;60;0;0;0;0;0;0;0;0
Chaco;CHACABUCO;Estatal;Rural;0;0;14;0;1;0;0;0;0;2;0;43;5;2;0;19;0;3;2;0; ; ;2;0;0; ; ; ; ; ; ; ;0;0;0;3;0;0;0;0;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaco;CHACABUCO;Estatal;Urbano;10;0;62;0;1;0;2;0;0;23;0;250;0;0;0;1;0;0;34;0;53;0;88;0;4;6;0;0;0;7;0;0;0;0;0;149;0;0;250;20;5879;20;0;0;4;1115;0;0;0;0;0;0;0;0;0;0
Chaco;COMANDANTE FERNANDEZ;Estatal;Rural;1;0;16;0;0;0;0;0;0;6;0;76;0;3;0;18;0;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;53;0;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0
Chaco;COMANDANTE FERNANDEZ;Estatal;Urbano;29;0;161;0;9;0;1;0;10;61;0;683;4;11;0;4;0;4;64;0;57;0;188;0;4;13;0; ; ;13;0;0;0;0;0;288;29;0;51;0;14402;0;81;0;4;2177;0;120;0;0;0;0;0;0;0;0
Chaco;COMANDANTE FERNANDEZ;Privado;Urbano;13;0;60;0;4;0;0;0;17;20;0;175;0;3;0;0;0;23;35;0;68;0;73;0;4;27;0;87;0;31;0;23;0;0;5;0;0;12;6;0;4433;257;0;0;127;2611;0;206;0;0;0;34;0;62;0;96
Chaco;Enmascarado;Privado;Rural;0;0;1;0;1;0;1;0;0; ; ;3;0;1;0;1;0;0;12;0;10;0;13;0;0;3;0;21;0;2;0;0;0;0;0;0;0;0;0;0;1781;26;690;0;0;24;0;0;0;0;0;8;0;0;252;10
Chaco;Enmascarado;Privado;Urbano;12;0;61;0;0;0;0;0;11;12;0;111;0;1;0;0;0;8;36;0;112;0;79;0;6;19;0;68;0;28;0;1;0;0;8;0;0;76;203;0;4845;0;240;0;52;2547;239;0;0;0;0;0;0;106;0;0
Chaco;FRAY JUSTO SANTA MARIA DE ORO;Estatal;Rural;1;0;13;0;1;0;0;0;0;2;0;27;0;0;0;11;0;0;5;0; ; ;12;0;0; ; ; ; ;1;0;0;0;0;0;18;0;0;0;0;738;0;0;0;0;145;0;0;0;0;0;0;0;0;0;0
Chaco;FRAY JUSTO SANTA MARIA DE ORO;Estatal;Urbano;4;0;22;0;0;0;0;0;4;7;0;84;0;0;0;2;0;0;10;0;9;0;15;0;0;4;0; ; ;5;0;0;0;0;0;49;0;0;0;0;1522;0;0;0;0;604;0;0;0;0;0;0;0;0;0;0
Chaco;GENERAL BELGRANO;Estatal;Rural;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;7;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0
Chaco;GENERAL BELGRANO;Estatal;Urbano;5;0;30;0;0;0;1;0;0;10;0;110;0;0;0;0;0;1;12;0;5;0;23;0;0;1;0; ; ;3;0;0;0;0;0;18;0;0;0;0;2352;0;0;0;0;411;0;0;0;0;0;0;0;0;0;0
