anio,provincia,departamento,sector,ambito,localizacion,electricidadsi,electricidadredpública,electricidadgrupoelectrógeno,electricidadpanelfotovoltaicosolar,electricidadgeneradoreólico,electricidadgeneradorhidráulico,electricidadotro,equipamientoestablecimientotelevisor,equipamientoestablecimientosistemamultimediaocañón,equipamientoestablecimientoscanner,equipamientoestablecimientowebcam,equipamientoestablecimientoreproductordecd,equipamientoestablecimientoreproductordedvd,equipamientoestablecimientoimpresora,equipamientoestablecimientoequipoemisorderadioamfm,equipamientoestablecimientoequiporeceptorderadioamfm,equipamientoestablecimientoservidorparausoescolar,equipamientoestablecimientoimpresora3d,equipamientoestablecimientoequipodesonido,equipamientoestablecimientopizarrasdigitales,equipamientobibliotecatelevisor,equipamientobibliotecasistemamultimediaocañón,equipamientobibliotecascanner,equipamientobibliotecaequipamientobibliotecawebcam,equipamientobibliotecareproductordecd,equipamientobibliotecareproductordedvd,equipamientobibliotecaimpresora,equipamientobibliotecaequipoemisorderadioamfm,equipamientobibliotecaequiporeceptorderadioamfm,equipamientobibliotecaservidorparausoescolar,internettipodeserviciogratuito,internettipodeserviciopago,internettipodeconexióntelefónica,internettipodeconexiónadsl,internettipodeconexióncablemódem,internettipodeconexiónsatelital,internettipodeconexiónotrotipo,internettipodeconexiónmóvil,espaciosconconexióneneláreadeadministración,espaciosconconexiónenlasaulas,espaciosconconexiónenlabibliotecas,espaciosconconexiónenotroespaciodelestablecimiento,espaciosconconexiónenellaboratorio,cooperadoraconpersoneríajurídica,cooperadorasinpersoneríajurídica,cooperadorano,sistemadegestiónescolarsi,sistemadegestiónescolarprovistoporelministerio,sistemadegestiónescolardesarrolladoporterceros,sistemadegestiónescolarencargadoporelestablecimiento,sistemadegestiónescolarplanilladecalculo,disponedesalaolaboratoriodeinformáticasi,laboratoriofuncionaesespacioexclusivosi,bibliotecadisponedealmenosunasi,bibliotecafuncionaesespacioexclusivosi,subvenciónestataljardínmaternalsi,subvenciónestataljardíndeinfantessi,subvenciónestatalprimariasi,subvenciónestatalsecundariasi,subvenciónestatalsnusi
2023,Buenos Aires,PUAN,Estatal,Urbano,8,8,8, , , , , ,7,7,5,3,5,3,8,5, ,2,1,7,4,2,3,2,1,2,1,2, , ,1,34,1,1, ,8,1, , ,8,3,5,3,4,5,3, ,7,5,1, ,1,5,4,8,5, , , , , 
2023,Buenos Aires,PUAN,Privado,Urbano,9,9,9, , , , , ,7,9,8,5,9,9,9,7, ,3,1,9,1,6,3,3,2,7,6,3,6, , ,13,5,4, ,7, ,2, ,9,9,9,6,8,4, ,5,1, ,1, , ,7,6,9,8,1,2,3,5,1
2023,Buenos Aires,PUNTA INDIO,Estatal,Rural,24,23,22, ,1, , ,1,15,15,6,3,6,7,19,8, ,1,1,16,7,1,2, , ,1,1,1, , , ,156, ,2, ,8,10,3, ,18,18,4,6,2,13,5,5,6,6, , , ,2,1,13,6, , , , , 
2023,Buenos Aires,PUNTA INDIO,Estatal,Urbano,7,7,7, , , , , ,6,5,5, , , ,7,2, , , ,6,1,4,4, , , , , ,1, , ,33, ,1, ,3, ,2, ,6,2,2,2, ,6,1, ,3,3, , , ,1, ,6,6, , , , , 
2023,Buenos Aires,QUILMES,Estatal,Urbano,265,264,264,2,2, , , ,195,203,89,20,73,92,219,67, ,23,15,198,46,80,61,5,2,27,45,22,24, ,4,2273,10,47,13,148,14,27,26,230,158,125,86,44,129,48,87,123,118,2,1,2,67,41,230,171, , , , , 
2023,Buenos Aires,QUILMES,Privado,Urbano,198,191,190,12,1, , , ,151,145,112,128,132,105,180,108, ,45,16,177,40,29,20,13,15,37,24,25,24, ,11,12,180,58,13,128,7,12,23,181,133,62,104,98,1, ,190,64,25,19,14,6,100,76,106,68,12,58,43,42,6
2023,Buenos Aires,RAMALLO,Estatal,Rural,17,17,17, ,1, , , ,12,13,6,1,6,5,12,7, ,1, ,10,7, ,1,1, ,1,1,1, , , ,106,1, , ,10,6, ,1,13,14,2,8, ,12,4,1,7,5, , ,2,1,1,7,3, , , , , 
2023,Buenos Aires,RAMALLO,Estatal,Urbano,29,29,29, , , , , ,27,26,10,6,12,13,28,14, ,2,2,26,12,5,4,1, ,4,5,3,3, , ,196,3,7,2,15,5,4,4,27,21,17,12,6,21,7,1,13,11, ,1,1,8,4,25,15, , , , , 
2023,Buenos Aires,RAUCH,Estatal,Rural,29,29,21,2,4, ,1,2,12,16,7,3,9,5,21,14, , ,1,17,7,3,4,2,1,2,1,6,3, , ,208,1,1, ,8,16,2,4,11,25,4,5,1,12,9,8,9,9, , , ,3,1,13,4, , , , , 
2023,Buenos Aires,RAUCH,Estatal,Urbano,15,15,14, ,1, , , ,7,10,6,4,3,4,10,8, ,2,1,7,7,3,3,1,3,2,2,2,2, ,1,112,1, , ,7,4,1,2,9,11,6,7,1,7,2,6,4,3, ,1, ,3,3,9,7, , , , , 
2023,Buenos Aires,RIVADAVIA,Estatal,Rural,32,32,29,2,2, , , ,12,27,15,7,4,11,26,10, ,2,1,19,19,4,3,1,1, ,2,2,1, , ,284, ,2, ,18,9,5,2,17,29,9,21,3,18,5,9,16,13, , ,3,2,1,17,8, , , , , 
2023,Buenos Aires,RIVADAVIA,Estatal,Urbano,11,11,11, , , , , ,6,11,7,2,3,4,11,3, , ,1,9,9,1,4,1, , ,1, , , , ,82,1,3,1,6,2,1,1,11,10,9,8,3,5,6, ,6,5, , ,1,4,4,11,8, , , , , 
2023,Buenos Aires,RIVADAVIA,Privado,Urbano,4,4,4, , , , , ,4,4,4,2,3,2,3,2, , ,1,3,3, ,3,2,2,1, ,2,1, , ,  ,4, , ,4, , , ,4,4,4,4, , , ,4,2,2, , , , , ,4,4, , ,1,1, 
2023,Buenos Aires,ROJAS,Estatal,Rural,24,24,23, , , , ,1,15,20,8,2,5,7,21,7, ,2,1,11,10,3,4, , , , ,2, , , ,155,1,1, ,11,10,1, ,10,20,7,10,3,12,8,4,5,4, , ,1,8,2,18,7, , , , , 
2023,Buenos Aires,ROJAS,Estatal,Urbano,24,24,24, ,1,1, , ,20,17,9,4,15,11,22,13, ,8,1,21,6,7,5,2,1,4,3,4,5, ,3,184, ,2,2,15,4,1,3,22,16,12,12,7,11,10,3,15,11,1, ,3,9,7,22,16, , , , , 
2023,Buenos Aires,ROQUE PEREZ,Estatal,Rural,30,30,28, ,2, , ,1,24,16,6,2,12,9,26,12, ,2, ,18,11,1, , , , , , , , , ,30 , ,2, ,4,23,2,3,9,27,1,9,1,23,3,4,8,7, , ,1,3,1,7,1, , , , , 
2023,Buenos Aires,ROQUE PEREZ,Estatal,Urbano,19,19,19, ,1, , , ,11,10,7,6,7,6,15,11, ,8,1,14,6,2,4, , ,1,2,1,1, ,1,16 ,3,1, ,5,8,2,4,12,17,8,8,3,10,1,8,10,8, , ,2,3,2,12,7, , , , , 
2023,Buenos Aires,SAAVEDRA,Estatal,Rural,23,23,22, , , , ,1,16,18,17,9,16,12,21,10, ,4,1,20,9,5,8,2,2,7,5,4,3, ,3,1111,1,3, ,14,5,5,4,19,20,14,11,6,12,7,4,8,8, , , ,7,4,19,12, , , , , 
2023,Buenos Aires,SAAVEDRA,Estatal,Urbano,14,14,14, , , , , ,12,14,12,9,10,9,14,10, ,3,1,14,6,3,4,2,1,3,4,1,1, , ,52,7,7,1,6,3,2,2,14,10,7,9,5,9,5, ,8,8, , , ,6,5,11,10, , , , , 
