provincia;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;Menosde18años;11añosymenos;6añosymás;18añosymás;25añosymás;30añosymás;De20a24años;De25a29años
Buenos Aires;9 DE JULIO;Estatal;Rural;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;54;11;4; ; ; ; ; ; ; ; ; ;1; ;6; 
Buenos Aires;9 DE JULIO;Estatal;Rural;2°; ; ; ; ; ; ; ;116;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;3°; ; ; ; ; ; ; ; ;134;8;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;4°; ; ; ; ; ; ; ; ; ;110;10;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;5°; ; ; ; ; ; ; ; ; ; ;107;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;6°; ; ; ; ; ; ; ; ; ; ; ;123;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;7°; ; ; ; ; ; ; ; ; ; ; ; ;80;12;4;10;4;9;2;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;93;29;4;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;9°; ; ; ; ; ; ; ; ; ; ; ; ; ;1;92;12;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;Sala de 2; ; ;58; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;Sala de 3; ; ; ;106;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;Sala de 4; ; ; ; ;102; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;Sala de 5; ; ; ; ;4;108; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;39;54;68;71;54;39;35; ; ; ; ; ;142; ;116
Buenos Aires;9 DE JULIO;Estatal;Urbano;1°; ; ; ; ; ;1;492;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;265;93;42;17;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;219;85;30;10; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;233;48;20; ; ; ; ; ; ; ; ; ; ; ;3; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;13°/14°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;35;8; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;2°; ; ; ; ; ; ; ;515;43;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;3°; ; ; ; ; ; ; ; ;527;33;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;4°; ; ; ; ; ; ; ; ;1;447;32;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;5°; ; ; ; ; ; ; ; ; ;9;475;29;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;6°; ; ; ; ; ; ; ; ; ; ;1;481;24;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;7°; ; ; ; ; ; ; ; ; ; ; ; ;518;117;44;20;25;14; ; ; ; ; ; ; ; ;3; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;460;135;86;36;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;9°; ; ; ; ; ; ; ; ; ; ; ; ; ;3;365;120;64;25;2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;Sala de 2; ; ;36; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;Sala de 3; ; ; ;513;19;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;Sala de 4; ; ; ;9;546;28; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;Sala de 5; ; ; ; ;4;472; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;1°; ; ; ; ; ; ;155;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;128;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;134;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;117;3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;2°; ; ; ; ; ; ; ;165;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;3°; ; ; ; ; ; ; ; ;161;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;4°; ; ; ; ; ; ; ; ; ;153;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;5°; ; ; ; ; ; ; ; ; ; ;148;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
