provincia;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;Menosde18años;11añosymenos;6añosymás;18añosymás;25añosymás;30añosymás;De20a24años;De25a29años
Buenos Aires;25 DE MAYO;Privado;Urbano;9°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;100;11;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;Sala de 3; ; ; ;124; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;Sala de 4; ; ; ; ;131; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;Sala de 5; ; ; ; ; ;141; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;1°; ; ; ; ; ; ;128;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;39;13;8;2;3; ; ; ; ; ; ; ; ; ;1; ;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;42;16;1; ; ; ; ; ; ; ; ; ; ;13; ;7; 
Buenos Aires;9 DE JULIO;Estatal;Rural;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;31;4;2; ; ; ; ; ; ; ; ; ;5; ;4; 
Buenos Aires;9 DE JULIO;Estatal;Rural;13°/14°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;2°; ; ; ; ; ; ; ;148;8;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;3°; ; ; ; ; ; ; ; ;123;9;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;4°; ; ; ; ; ; ; ; ;1;138;10;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;5°; ; ; ; ; ; ; ; ; ; ;145;14;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;6°; ; ; ; ; ; ; ; ; ; ; ;119;10;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;7°; ; ; ; ; ; ; ; ; ; ; ; ;43;18;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;8°; ; ; ; ; ; ; ; ; ; ; ; ;2;64;21;10;5;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;9°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;46;15;10;3;2; ; ; ; ; ; ; ; ; ; ; ; ;2; 
Buenos Aires;9 DE JULIO;Estatal;Rural;Sala de 2; ; ;21; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;Sala de 3; ; ; ;112; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;Sala de 4; ; ; ; ;118;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;Sala de 5; ; ; ; ; ;126; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24;67;81;96;91;89;87; ; ; ; ; ;114; ;148
Buenos Aires;9 DE JULIO;Estatal;Urbano;1°; ; ; ; ; ; ;502;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;254;110;46;20;3; ; ; ; ; ; ; ; ; ; ; ;4; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;202;61;26;3; ; ; ; ; ; ; ; ; ; ; ;4; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;167;72;21; ; ; ; ; ; ; ; ; ; ; ;5; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;13°/14°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;32;2; ; ; ; ; ; ; ; ; ; ; ;1; 
