provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;BoliviaInicial;BrasilInicial;ChileInicial;ParaguayInicial;PerúInicial;UruguayInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ParaguaySNU;PerúSNU;UruguaySNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaCopadeleche;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Santa Fe;CONSTITUCION;Estatal;Rural;33; ;2; ; ; ; ; ; ; ; ; ; ;108; ; ; ; ; ; ; ;515; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ;1810;469; ; ; ;20;5; ;2;312; ;9; ;7;9;13; ;9;15;8; ;1;9; ; ;1;20; ;20; ; ; ; ; ; 
Santa Fe;CONSTITUCION;Estatal;Urbano;43; ;9;11; ; ; ; ; ; ; ; ; ;874; ; ; ; ; ; ; ;3151; ; ; ; ; ;551; ;257; ; ; ; ; ; ; ; ; ; ;1; ; ;5;2; ; ;2; ;1;1; ; ;5;1; ; ;1;1;2;5; ; ;1;2; ; ; ; ; ; ;1; ; ; ; ; ;8210;1833; ;1;5;23;12;2;23; ;119;14; ;19;16;23; ;22;22;11; ;6;12;14; ;2;70; ;43;3; ;10; ; ; 
Santa Fe;CONSTITUCION;Privado;Urbano;18; ; ;5; ; ; ; ; ; ; ; ; ;1127; ; ; ; ; ; ; ;966; ; ; ; ; ;84; ;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ; ; ;1;1; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ;295; ; ; ;4;4;7;1;4; ; ;3; ;6;3;3; ;4;3;6; ;2;8; ;4; ; ;6; ; ;1;3; ; ; 
Santa Fe;Enmascarado;Estatal;Rural;9; ; ; ; ; ; ; ; ; ; ; ; ;88; ; ; ; ; ; ; ;126; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;805;38; ; ; ;5;2; ;4; ; ;4; ;4;4;5; ;4;5;1; ;1;1; ; ; ;6; ;1; ; ;1; ; ; 
Santa Fe;Enmascarado;Privado;Rural;10; ; ;14; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ;763; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;640;399; ;360; ; ;9; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ;9; ; ; ; ; ; ; ; ;1; ; ; 
Santa Fe;Enmascarado;Privado;Urbano;3; ; ; ; ; ; ; ; ; ; ; ; ;57; ; ; ; ; ; ; ;460; ; ; ; ; ;115; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;400;441; ; ; ;1;2; ; ; ; ;1; ;1;1;1; ;1;1; ; ;1;1;3; ; ;4; ;3;2; ; ; ; ; 
Santa Fe;GARAY;Estatal;Rural;10;3;13; ; ; ; ; ; ; ; ; ; ;30; ; ; ; ; ; ; ;160; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;806;803; ;84; ;9;1; ; ; ; ;5; ;3;5;7; ;3;9; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
Santa Fe;GARAY;Estatal;Urbano;26; ;135;77; ; ; ; ; ; ; ; ; ;335; ; ; ; ; ; ; ;1153;76; ; ; ; ; ; ; ;3; ; ; ; ;74; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3408;2957; ; ;3;13;4;1;8; ; ;6; ;6;7;11; ;10;11;3;1; ;5; ; ;1;3; ;13; ; ;1; ; ; 
Santa Fe;GENERAL LOPEZ;Estatal;Rural;85; ; ; ; ; ; ; ; ; ; ; ; ;176; ; ; ; ; ; ; ;749; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;3; ; ; ;1; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3426;857; ; ;11;43;11; ;6;76;45;29; ;12;30;41; ;14;44;7; ;2;11;3; ;4;15; ;17;1; ; ; ; ; 
Santa Fe;GENERAL LOPEZ;Estatal;Urbano;128; ;12;9; ; ; ; ; ; ; ; ; ;2169;278; ; ; ; ; ; ;6789;95; ;145; ; ;776; ;187; ; ; ; ; ; ; ;4; ; ;5; ; ; ; ;1; ;6;4; ;59; ;4;11;5;1; ;2;2;1;20;2;5; ;3; ; ; ; ; ;2;1;2; ; ; ; ;15799;3382;220;177;27;52;23;3;33;599; ;40; ;49;40;50; ;50;52;14; ;13;21;20;1;13;104;9;104;9; ;16; ; ;2
