provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Mendoza;SAN MARTIN;Privado;Rural;8;8;8; ; ;1;1;1;7; ; ; ;4;5;1;5; ; ; ;4; ;1; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4; ; ; ; ; ; ; ;2;1;4; ; ; ; 
Mendoza;SAN MARTIN;Privado;Urbano;27;27;27; ; ; ; ; ;22;11;9;2;21;22;14;9; ;8; ;14; ;5;2;1; ;5;5;2; ; ;1;3;11;6;4;5; ; ; ;14;6;5;8;9; ;7;19;11;9;1; ;1;10;10;14;5;10;4;4;4;1
Mendoza;SAN RAFAEL;Estatal;Rural;83;83;81;2;1; ; ;1;78;60;61;21;66;65;79;45; ;49; ;74;38;17;8;12;2;17;14;16;7; ;9;67;4; ;3;11;65;1;2;61;10;8;16;41;2;37;42;65;61;1; ;3;73;57;69;24; ; ; ; ; 
Mendoza;SAN RAFAEL;Estatal;Urbano;105;105;105; ; ; ; ; ;95;82;63;26;82;79;94;54; ;68;3;81;33;30;16;13;5;15;19;20;9; ;14;66;16;18;17;20;16;20;4;81;24;25;31;47;4;48;48;77;71;1; ;5;77;60;91;43; ; ; ; ; 
Mendoza;SAN RAFAEL;Privado;Urbano;46;46;46; ; ; ; ; ;34;24;20;8;32;27;32;25; ;15;1;28;1;3;3;4;3;4;4;5;4; ;5;3;26;7;9;5;7;7;1;29;12;10;12;14; ;4;36;18;11;5;1;1;16;14;27;16;13;8;7;9;5
Mendoza;SANTA ROSA;Estatal;Rural;21;21;21;1; ; ; ; ;20;15;9;1;12;19;20;9; ;11; ;19;6;3;3;1; ;3;3;2;2; ;1;13;3; ;1;1;13;1;1;16;2;1;2;9; ;20;1;18;17; ; ;1;18;13;19;4; ; ; ; ; 
Mendoza;SANTA ROSA;Estatal;Urbano;12;12;12; ; ; ; ; ;10;11;4;2;9;9;11;8; ;9; ;10;4;3;5;1;1;3;2;5;5; ;5;4;7;2;2;2;4;1; ;10;2;5;1;2;3;4;3;8;8; ; ; ;6;4;10;4; ; ; ; ; 
Mendoza;SANTA ROSA;Privado;Rural;6;6;6; ; ; ; ; ;5; ;1; ;3; ;4;3; ; ; ;3; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;1; ; ; ; ; ;3;2;4; ; ; ; 
Mendoza;SANTA ROSA;Privado;Urbano;8;8;8; ; ; ; ; ;8; ; ; ;6;5;5;6; ; ; ;2; ;2; ; ; ;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;6;1; ; ; ;1;1;1;6;1;6; ; ; ; 
Mendoza;TUNUYAN;Estatal;Rural;20;20;20; ; ; ; ; ;20;16;12;5;19;19;19;12; ;8;1;16;9;4;2;3;1;2;2;3;1; ; ;12; ; ; ;3;8;1; ;12; ; ; ;1; ;15;5;16;15;1; ; ;10;3;14;2; ; ; ; ; 
Mendoza;TUNUYAN;Estatal;Urbano;28;28;28; ; ; ; ; ;23;20;12;6;22;21;22;16; ;15;1;23;2;5;5;3; ;5;5;3;1; ;1;17;4;8;4;2;9;4;1;21;3;3;7;9;2;18;7;19;18; ; ;1;21;17;19;12; ; ; ; ; 
Mendoza;TUNUYAN;Privado;Rural;5;5;5; ; ; ; ; ;4; ; ; ;3;4; ;4; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2; ; ; ; ; ; ; ;2; ;2; ; ; ; 
Mendoza;TUNUYAN;Privado;Urbano;15;15;15; ; ; ; ; ;11;5;5; ;10;9;7;7; ;3;1;5; ;3;1;1; ;1;2;1;1; ;1;1;6;3; ;4;2; ;1;7;1;1;1;4; ;3;6;4;4; ; ; ;4;4;7;3;8;2;2;2; 
Mendoza;TUPUNGATO;Estatal;Rural;23;23;23; ; ; ; ; ;19;18;14;3;11;13;20;12; ;14; ;17;13;5;5;3;2;4;4;5;3; ;4;10;3; ;1;1;7;3;1;10;2;2;1;3;1;8;14;15;12;3; ; ;15;7;14;5; ; ; ; ; 
Mendoza;TUPUNGATO;Estatal;Urbano;11;11;11; ; ; ; ; ;11;9;6;3;8;10;10;6; ;8; ;10;4;3;3;3;1;3;3;3;2; ;1;6;3; ;2;1;6;1; ;9;1;3;2;8;1;5;5;7;7; ; ; ;8;7;10;5; ; ; ; ; 
Mendoza;TUPUNGATO;Privado;Urbano;6;6;6; ; ; ; ; ;4;3;2;1;5;5;4;3; ;2; ;4; ; ;2; ; ;2;2;1;1; ; ; ;4;4; ; ; ; ; ;3; ;2;2;3; ; ;6;2;2; ; ; ;4;3;4;2;1;2;2;2; 
Misiones;25 DE MAYO;Estatal;Rural;108;106;106; ; ; ; ; ;60;56;37;20;51;48;62;36; ;43;1;44;34;12;13;10;8;12;13;15;10; ;9;20;8; ; ; ;25;2;2;25;11;4;5;1;1;71;31;35;30; ;1;4;19;3;63;16; ; ; ; ; 
Misiones;25 DE MAYO;Estatal;Urbano;10;10;10; ; ; ; ; ;4;4;3; ;3;2;4; ; ;2; ;3;1;1;1;1; ;1;1;1; ; ;1; ;3; ; ;2;1; ; ;3; ; ; ; ;1;3;5;2;2; ; ; ;3;2;4;3; ; ; ; ; 
Misiones;APOSTOLES;Estatal;Rural;24;24;24; ; ; ; ; ;13;9;4;5;11;10;16;7; ;11;1;11;8;1;1; ; ;1;1;2; ; ;1;1; ; ; ; ;1; ; ;1; ; ; ; ; ;20;3;2;2; ; ; ;9;3;19;4; ; ; ; ; 
Misiones;APOSTOLES;Estatal;Urbano;38;38;38; ; ; ; ; ;20;19;10;3;13;16;18;7; ;14;1;18;7;5;3;3;1;2;2;3;1; ;3;4;5;1;4;2; ; ;2;7;4;2;4;4;2;17;15;13;12; ; ;1;14;9;23;9; ; ; ; ; 
Misiones;APOSTOLES;Privado;Urbano;6;6;6;2; ; ; ; ;6;6;6;2;4;4;6;3; ;4; ;5;1;2;2;3; ;2;2;4;1; ;1; ;5;2;2; ; ;1; ;5;2;3;3;4; ;1;5;4;3;1; ; ;5;5;6;5; ;2;3;5;3
Misiones;CAINGUAS;Estatal;Rural;33;33;33; ; ; ; ; ;24;19;13;3;20;18;25;14; ;17; ;16;11;4;4;2;1;3;3;4;2; ;3;17; ; ; ; ;16;1; ;13;7;3;5;1; ;25;8;11;10; ; ;1;8;3;26;9; ; ; ; ; 
Misiones;CAINGUAS;Estatal;Urbano;121;120;118; ; ; ; ;2;76;54;26;7;63;62;80;58; ;44; ;51;19;15;10;5;2;11;12;13;9; ;3;9;16; ; ;5;15;4;2;24;9;2;7;3;3;58;55;57;49;4;1;3;29;11;79;21; ; ; ; ; 
Misiones;CAINGUAS;Privado;Urbano;9;9;9;1; ; ; ; ;8;8;5;1;7;7;9;5; ;6; ;9; ;2;4;1; ;2;3;5;1; ;2; ;8; ; ;4;2;2;1;8;3;4;4;4;3; ;5;4;3; ;1; ;5;5;7;5; ;6;6;6;2
Misiones;CANDELARIA;Estatal;Rural;27;27;27; ; ; ; ; ;18;18;12;7;12;12;23;11; ;14;1;10;10;1;2;3;2;1;1;3;1; ;2;5;1; ; ;1;6; ; ;4;4;1;2;2;3;14;8;6;6; ; ; ;12;4;22;7; ; ; ; ; 
Misiones;CANDELARIA;Estatal;Urbano;18;18;18; ; ; ; ; ;12;12;8;4;11;12;14;8; ;9;1;10;5;3;2;3;1;4;4;4;3; ;3;1;1;2; ;1; ; ; ;2; ;1;1;1;2;8;7;5;4; ; ;1;7;5;13;9; ; ; ; ; 
Misiones;CAPITAL;Estatal;Rural;18;18;18; ; ; ; ; ;15;14;6;1;10;8;13;5; ;10; ;12;6; ; ; ; ; ; ;1; ; ; ;3; ;1; ; ;1; ;1;3;1; ; ; ; ;11;5;9;7; ;1;1;6;2;14;5; ; ; ; ; 
