provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasInicialLenguaindígena;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasPrimariaLenguaindígena;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSecundariaLenguaindígena;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;IdiomasSNULenguaindígena;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaCopadeleche;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;ALBERTI;Estatal;Rural;18; ; ; ; ; ; ; ; ; ; ; ; ; ;132; ; ; ; ; ; ; ; ;176; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;391;144;80;72;3;8;2; ;3;0; ;28; ;2; ;5;2;3; ;6;4;2; ; ;1;1; ; ;5; ; ;5; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;10; ; ; ; ; ; ; ; ; ; ; ; ; ;309; ; ; ; ; ; ; ; ;201; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;778;181;537; ;4;3;1; ; ;0; ;80; ;2; ;4;2;2; ;2;3; ; ; ;2;2; ; ;9; ; ;1; ;2; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;228; ;28;13; ; ; ; ; ; ; ; ; ; ;18977; ; ; ; ; ; ; ; ;30385; ; ; ; ; ;61; ; ;74; ; ; ; ; ; ; ; ;18; ; ; ; ;12;8;3; ;3;2; ; ;256;6;5; ; ;569;67;14; ;21;16; ; ;165;5;12; ; ;358;31;20; ;11;3;1;2;3; ;2; ; ;8; ;1; ; ; ;1; ;50011;12803;8279; ;34;63;70;2;749;56; ;737; ;54; ;54;54;78;1;79;81;88;1;85;85;103;22;31;261;34;13;70;3;6; ; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;179; ;5;2; ;3805; ; ; ; ; ; ; ; ;20108;43; ; ; ; ; ; ; ;13456; ; ; ; ; ;401; ; ;308; ; ; ; ; ; ; ; ;3;2;2; ; ;11;2;1; ;8;9;1;1;7;3;3; ; ;59;11;6; ;34;26;5;8;10;3;3; ; ;70;15;8; ;12;8;4; ;10; ;2; ; ;9;8;2; ; ; ; ; ;111; ;255; ;40;43;44;4;17;23; ;283; ;61;1;62;63;45;1;42;46;55; ;24;57;23;40;19;45;79;20;18;27;9; ;2;1
Buenos Aires;ARRECIFES;Estatal;Rural;14; ; ; ; ; ; ; ; ; ; ; ; ; ;127; ; ; ; ; ; ; ; ;125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;298;113; ; ;2;6;1; ;1;2; ; ; ;1; ;3;1;4; ;7;4;1; ; ;1;2; ; ;10; ; ;5; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;32; ; ; ; ; ; ; ; ; ; ; ; ; ;1379; ; ; ; ; ; ; ; ;2342; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;4; ;2; ; ;11; ;2; ;2;2; ; ;1; ; ; ; ;4; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3911;436; ; ;5;9;10;1;3;0; ;121; ;7; ;8;9;6; ;8;7;8; ;5;8;12;2; ;27;1;1;14; ;2; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;187;3;5; ;1066; ; ; ; ; ;1; ; ; ;12018; ; ; ; ; ; ; ; ;21296; ; ; ; ; ; ; ; ;265;22; ; ; ; ; ; ; ;27;1;1; ; ;52;59;4; ;7;14; ; ;98;8;4; ; ;460;156;28; ;24;10; ; ;107;7;6; ; ;450;145;31; ;29;4; ;1;36;4;39; ; ;23;33;16; ;39;17;2; ;26937;7938;1265; ;56;40;43;9;251;32; ;1417;122;66; ;66;72;46; ;46;55;46; ;45;47;93;21;10;251;10;2;80;4;9;1; ; 
Buenos Aires;AVELLANEDA;Privado;Urbano;115; ; ; ; ;2801; ; ; ; ; ; ; ; ;13179; ; ; ; ; ;70; ; ;10527; ; ; ; ; ;228; ; ;443;43;77; ; ; ; ; ; ;2;4; ; ; ;9;4; ; ;6;10; ; ;7;8;1; ; ;24;14;4; ;17;20;1;1;10;5;2; ; ;39;18;7; ;10;4;2; ;18;1;3; ; ;24;8;1; ;1; ; ;3;189; ;101; ;28;29;34;5; ;4; ;1663;22;38; ;38;40;29;1;23;32;31; ;17;30;31;25;95;65;57;2;23;29;5; ; ; 
Buenos Aires;AYACUCHO;Estatal;Rural;38; ;4; ; ; ; ; ; ; ; ; ; ; ;168; ; ; ; ; ; ; ; ;260; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;507;297; ; ;1;9;4; ;14;0; ; ; ;1;3; ;1;13;14;3;13;2;1;1;2; ; ; ;12;3; ; ; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;23;1; ; ; ; ; ; ; ; ; ; ; ; ;984; ; ; ; ; ; ; ; ;992; ; ; ; ; ; ; ; ;44; ;12; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ;11; ; ; ; ;1; ; ;1; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1307;292;112;20;4;4;6;2; ;96; ;61; ;5; ;6;5;4; ;5;5;4;1;4;4;8;1; ;12; ; ;5; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Rural;45; ; ; ; ; ; ; ; ; ; ; ; ; ;220; ; ; ; ; ; ; ; ;118; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;297;98;51;51;2;28;2; ;6;0; ; ; ;5;1;4;2;11;1;20;7;2; ; ;3; ; ; ;8;4;1;1; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;61; ; ; ;1; ; ; ; ; ; ; ; ; ;2691; ; ; ; ; ; ; ; ;3997; ; ; ; ; ; ; ; ;89; ;10;2; ; ;23; ; ;1; ;1; ; ;3; ; ; ;1; ; ; ;5; ; ; ; ;20; ; ; ;3;1; ; ;2; ;2; ; ;9;2; ; ; ;1;1; ; ;1;1; ; ;3; ; ; ; ; ; ; ;3615;966;142; ;10;20;13;4;5;0; ;375; ;14; ;22;14;14; ;15;18;13; ;9;11;16;6;4;71;3; ;15;4;1; ; ;1
Buenos Aires;AZUL;Privado;Urbano;25; ; ; ; ;365; ; ; ; ; ; ; ; ;1517; ; ; ; ; ; ; ; ;1125; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;76; ;163; ;7;7;8;1; ;0; ; ; ;8; ;6;8;4; ;5;4;7; ;2;8; ;8; ;2;6;2;8;3; ; ;1; 
Buenos Aires;BAHIA BLANCA;Estatal;Rural;9; ; ; ; ; ; ; ; ; ; ; ; ; ;117; ; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;187;124; ; ;1;5;1; ; ;31; ;38; ;1; ; ;1;5; ;2;6;1; ; ;1; ; ;1;7; ; ; ; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;206;157; ; ;6; ; ; ; ; ; ; ; ; ;9998; ; ; ; ; ; ; ; ;16544;42;105;83;23; ;172; ; ;811; ;48;7; ; ; ; ; ;13;1;4; ; ;7;2; ; ;1;7; ; ;40;5;25; ; ;65;5;4; ;21;13;1; ;26;2;18; ; ;16;10;1; ;8;5; ;2;4;2;13; ; ;1;2;1; ;4;2; ; ;19500;3309;936;2;55;64;61;11;69;38; ;302;12;60; ;56;60;61;1;63;64;65;1;44;65;66;6;19;268;18;8;79;4;18; ; ;2
Buenos Aires;BAHIA BLANCA;Privado;Urbano;82; ; ; ; ;1605; ; ; ; ; ; ; ; ;5536; ; ; ; ; ;189; ; ;5798; ; ; ; ; ;172; ; ;1075;111;11;55; ;80;46; ; ; ;4;4; ; ; ;1; ; ;5;10; ;2; ;1;6; ; ; ; ; ; ;28;16;1;1;1;7;4; ; ;1;2; ; ;1;5;5;4;1; ;5; ; ;2;1; ; ;3;4; ;1;83; ; ; ;26;20;22;11; ;3; ;280; ;25;2;30;24;11;1;15;13;22; ;1;21;18;15;2;24;18;5;24;27;7; ;1;2
Buenos Aires;BALCARCE;Estatal;Rural;38;10; ;33; ; ; ; ; ; ; ; ; ; ;153; ; ; ; ; ;54; ; ;277; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ;2; ; ; ; ;3; ; ; ; ;2; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;326;125;3; ;6;19;5; ;2;8; ; ; ;1;3;3;1;10;4;12;10;3; ;3;3; ; ; ;9; ; ;8; ; ; ; ; 
Buenos Aires;BALCARCE;Estatal;Urbano;43; ; ; ; ; ; ; ; ; ; ; ; ; ;1581; ; ;131; ; ;23; ; ;3239; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ;1;3; ; ;17;1; ; ; ;15; ;1; ; ;8; ; ;20; ;1; ; ;8; ; ; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1862;484;180; ;10;11;11;2;3;0; ;92; ;9; ;15;9;11; ;10;12;10; ;9;11;16;1;1;35;15;4;12; ;2; ; ; 
Buenos Aires;BALCARCE;Privado;Rural;5; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ;146; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;121;134; ; ;1;2;2; ; ;11; ; ; ;1; ;1;1;2; ; ;2;1; ;1;1; ; ; ;3; ; ;2; ; ; ; ; 
Buenos Aires;BALCARCE;Privado;Urbano;4; ; ; ; ; ; ; ; ; ; ; ; ; ;361; ; ; ; ; ; ; ; ;250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1; ; ;0; ; ; ;1; ;3;1;2; ;3;2;1; ; ;1; ; ; ;2;1; ; ; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Rural;26; ; ; ; ; ; ; ; ; ; ; ; ; ;291; ; ; ; ; ; ; ; ;378; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3; ;1; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;602;420;210;87;2;9;4; ;3;1; ;63; ;1;1;4; ;3;2;10;3;2;1;1;2; ;1; ;10;2;2;6; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Urbano;37;4; ; ; ; ; ; ; ; ; ; ; ; ;1377; ; ; ; ; ; ; ; ;2165; ; ; ; ; ; ; ; ;121; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;13; ; ; ; ;7;4; ; ; ; ; ; ;14; ; ; ; ;4;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1931;267;34; ;5;5;8;1;22;10; ;116; ;6;1;15;6;5; ;9;6;8;1;4;8;6;6;2;37;3; ;15; ; ; ; ; 
Buenos Aires;BARADERO;Privado;Urbano;8; ; ; ; ; ; ; ; ; ; ; ; ; ;401; ; ; ; ; ; ; ; ;557; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;2; ; ;0; ;35; ;1; ;4;1; ; ;2;1;2; ; ;2; ;1; ;2;4; ;4;4; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Rural;12; ; ; ; ; ; ; ; ; ; ; ; ; ;169; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;469;440;130; ;4;4;2; ; ;0; ; ; ;1; ;5;1;1; ;5;1;2; ; ;2;25; ; ;1; ; ; ; ; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Urbano;18; ; ; ; ; ; ; ; ; ; ; ; ; ;749; ; ; ; ; ; ; ; ;1494; ; ; ; ; ; ; ; ;29; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ;2; ;1; ; ; ; ; ;3; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2306;633; ;11;4;6;6;1;2;7; ; ; ;4; ;4;4;5; ;6;5;4; ;4;6;3;2; ;12;5; ;9;1; ; ; ; 
